,OSOURCE,STATE,ZIP,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2,RFA_2R,GEOCODE2,DOMAIN_A,DOMAIN_B
61854,PCL,OTHER,82426,45,U,F,2,,,L1F,L,D,R,2
61855,CFI,OTHER,97303,46,U,F,2,,,L2F,L,B,R,2
61856,LIS,CA,95608,3,H,M,3,,,L1G,L,B,U,1
61857,AMB,WA,98203,27,H,F,3,12,,L1E,L,A,C,2
61858,CWR,TX,75644,45,H,M,2,,Y,L1F,L,D,R,2
61859,BHG,CA,90703,2,H,M,3,,,L4E,L,A,U,1
61860,L04,TX,75043,17,U,F,3,,,L4E,L,A,S,2
61861,BRY,WA,98502,26,H,F,3,,Y,L2F,L,C,C,2
61862,ARG,CA,93535,30,U,F,3,,,L4D,L,A,C,3
61863,IMP,MI,48093-,40,H,M,1,,,L1G,L,A,R,2
61864,IMP,WI,54952,40,U,M,2,,,L3E,L,B,T,2
61865,SYC,OTHER,72390,36,U,F,3,,Y,L4E,L,D,T,2
61866,L01,OTHER,84532,49,U,,3,,,L3E,L,D,R,2
61867,ANT,GA,30366,21,U,M,3,,,L1F,L,A,S,3
61868,L01,IL,60004-,26,U,F,3,12,,L1F,L,A,C,2
61869,NPT,OTHER,42712,51,U,M,3,,,L1F,L,D,R,3
61870,WIG,OTHER,37748,36,U,F,2,,,L1F,L,D,T,2
61871,,OTHER,37146,49,H,F,2,,Y,L1G,L,B,R,2
61872,APP,OTHER,80014,23,H,M,3,,,L1E,L,B,C,1
61873,HCC,OTHER,29607,32,U,M,3,,,L2F,L,B,C,3
61874,BHG,FL,32217,21,H,F,2,,,L2E,L,B,S,3
61875,AML,OTHER,70054,10,U,M,3,,,L1F,L,B,U,4
61876,MM2,IL,60096,18,H,F,3,,,L4E,L,A,S,2
61877,GPS,OTHER,70065,15,H,M,3,,,L1F,L,B,S,1
61878,ENQ,FL,33314,17,H,F,3,12,,L2E,L,A,S,2
61879,AML,FL,33446-,40,U,,3,,,L3F,L,B,R,2
61880,GLP,FL,34951,40,H,F,3,,Y,L3E,L,B,T,2
61881,FOR,WI,54751,27,U,M,2,,,L4E,L,D,C,2
61882,COK,OTHER,37849,40,U,F,3,,,L2F,L,B,T,2
61883,IMP,IL,60461,13,H,M,2,,,L3E,L,A,S,1
61884,HHH,TX,77587,30,H,F,3,,,L1F,L,A,C,3
61885,COK,MI,48188,17,U,F,3,,,L2G,L,A,S,2
61886,NAS,OTHER,89045,49,U,,3,,,L2G,L,D,R,2
61887,BHG,OTHER,55719,48,H,M,3,,,L1G,L,B,R,2
61888,FRC,OTHER,99559,42,U,F,2,,,L1F,L,A,R,1
61889,WKB,OTHER,37663,40,U,F,3,,,L1F,L,B,T,2
61890,IMP,WI,53089,40,U,F,2,,,L4D,L,B,T,2
61891,STR,IN,46902,25,U,F,3,,,L2E,L,C,C,2
61892,DON,MI,48124,13,U,,3,,,L1E,L,A,S,1
61893,OUL,OTHER,87710,42,U,M,3,,,L1F,L,D,R,1
61894,AGR,MI,48167,11,U,F,3,,,L1F,L,A,S,1
61895,LOG,MI,49456,41,U,F,2,,,L1G,L,C,T,3
61896,ARG,OTHER,66757,45,H,M,3,,Y,L1F,L,D,R,2
61897,LIS,CA,92407,30,U,M,3,,,L3D,L,A,C,3
61898,L01,OTHER,99652,44,H,M,2,1,Y,L1G,L,D,R,2
61899,ESN,MO,65781,43,H,F,2,,,L1F,L,B,R,2
61900,IMP,CA,92821,40,U,M,3,,,L1E,L,A,R,2
61901,KEN,NC,28805,38,H,F,3,,,L3E,L,C,T,2
61902,WRG,OTHER,58501,24,H,F,2,,,L3E,L,C,C,1
61903,BHG,CA,92119,17,H,F,2,12,Y,L1F,L,A,S,2
61904,,IN,46561,40,U,F,3,,,L3D,L,B,T,2
61905,BOA,CA,91011,13,H,M,3,,Y,L1F,L,A,S,1
61906,UCA,OTHER,67502,27,U,M,3,,,L4D,L,C,C,2
61907,SPN,WI,54157,46,U,M,2,,,L3D,L,D,R,2
61908,KNG,TX,76905-,30,U,F,3,,,L3F,L,C,C,3
61909,IMP,MI,49504,10,H,U,3,,,L2F,L,B,U,4
61910,MIC,CA,90505,24,U,F,3,,,L3E,L,A,C,1
61911,LHJ,OTHER,38610,43,H,M,3,,,L1F,L,D,R,2
61912,L04,OTHER,97527,37,H,F,2,,,L1F,L,C,T,2
61913,AGR,OTHER,66605,30,H,F,3,,,L1G,L,C,C,3
61914,ROA,OTHER,74602,41,U,F,3,,,L1E,L,D,T,3
61915,DON,IN,46307,12,H,F,3,,,L1F,L,A,S,1
61916,SYN,OTHER,71742,50,H,M,3,,,L3D,L,D,R,3
61917,ASE,GA,30329,25,U,F,3,,,L1F,L,A,C,2
61918,DCD,CA,95821,5,H,F,3,,,L1G,L,B,U,2
61919,L04,OTHER,37143,44,H,F,3,,,L1F,L,B,R,2
61920,PBL,FL,33980,29,U,F,2,,,L2E,L,C,C,2
61921,L01,OTHER,86405,37,H,M,2,,,L3F,L,C,T,2
61922,TVG,WI,54703,30,H,F,3,,,L4D,L,C,C,3
61923,SYN,OTHER,99515,18,H,M,2,,,L2F,L,C,S,2
61924,ESN,TX,76201,27,H,F,3,,,L2G,L,A,C,2
61925,STL,FL,32773,12,H,M,3,,,L3G,L,B,S,1
61926,HHH,CA,92220,40,H,F,3,,Y,L1F,L,A,T,2
61927,STR,OTHER,80303,44,U,F,3,12,,L3F,L,B,R,2
61928,BHG,OTHER,39211,14,H,M,3,,,L2G,L,B,S,1
61929,AML,OTHER,89801,40,H,M,3,,,L4E,L,D,T,2
61930,SUN,FL,33509,9,U,F,3,,,L1E,L,A,U,3
61931,DEL,IL,60516,22,H,F,2,,,L3F,L,A,C,1
61932,APP,CA,93534,27,H,F,2,,,L1F,L,A,C,2
61933,L16,IL,60423,35,U,F,2,,,L4D,L,A,T,1
61934,BHG,OTHER,35661,40,H,U,2,,,L1F,L,C,T,2
61935,LEO,IN,47601,36,H,M,3,,Y,L1E,L,B,T,2
61936,L01,IN,46032-,14,H,F,3,,,L3G,L,B,S,1
61937,LIS,NC,28606,51,H,F,2,,Y,L1F,L,C,R,3
61938,IMP,OTHER,84414,14,U,F,2,,,L1G,L,B,S,1
61939,APP,IL,60140,44,H,M,3,,,L1F,L,A,R,2
61940,DHR,OTHER,80906,14,H,M,2,12,,L1F,L,B,S,1
61941,ARG,CA,91765,12,H,F,3,,,L2G,L,A,S,1
61942,DLM,OTHER,66226,42,U,M,2,,,L1F,L,B,R,1
61943,PCL,OTHER,80654,49,H,M,2,,,L1F,L,D,R,2
61944,STR,TX,79007-,40,U,M,3,,,L1F,L,D,T,2
61945,DCD,NC,28625,47,U,F,3,,,L1F,L,C,R,2
61946,BOA,CA,94941,13,U,M,2,,,L1F,L,A,S,1
61947,DBL,OTHER,83401,27,H,M,2,,,L4F,L,C,C,2
61948,MBC,OTHER,96725,38,H,M,2,,,L3E,L,C,T,2
61949,APP,OTHER,37766,41,U,F,2,,,L3E,L,D,T,3
61950,L21,OTHER,96737,49,U,M,3,,,L1F,L,C,R,2
61951,NAS,CA,90019,9,U,M,3,,,L1F,L,A,U,3
61952,AHL,CA,91303,12,H,M,2,,,L1F,L,A,S,1
61953,PCL,FL,33618,2,H,F,2,,,L4D,L,A,U,1
61954,NAS,GA,30152,40,U,M,3,,,L4E,L,A,R,2
61955,L21,CA,92677,22,U,M,3,,,L1F,L,A,C,1
61956,AGR,OTHER,52302,12,H,M,3,,,L2F,L,C,S,1
61957,AMB,OTHER,67356,45,U,F,1,,,L1G,L,D,R,2
61958,FRC,CA,92653,11,H,F,3,,,L1G,L,A,S,1
61959,ASC,MI,49765,53,H,M,3,,,L3D,L,D,R,3
61960,L02,CA,92211,40,U,F,3,,,L1F,L,A,R,2
61961,ARG,CA,95825,3,U,M,3,,,L1G,L,B,U,1
61962,GDA,MI,48124,26,U,F,1,,,L2F,L,A,C,2
61963,PBL,IN,46049,44,H,F,2,,Y,L1F,L,C,R,2
61964,TIM,OTHER,56173,53,H,F,2,,,L3E,L,D,R,3
61965,ESN,IL,60187,24,H,M,3,,,L2F,L,A,C,1
61966,USA,CA,91311-,34,H,F,3,,,L1F,L,A,T,1
61967,L01,CA,92264,23,H,M,3,,,L1G,L,A,C,1
61968,BHG,WA,98944,49,H,F,3,,Y,L3D,L,C,R,2
61969,RED,FL,34109,23,H,F,3,,,L3F,L,C,C,1
61970,HCC,CA,95726,8,U,M,3,,,L1F,L,B,U,3
61971,MCC,TX,75238-,36,H,F,3,,,L1F,L,A,T,2
61972,SYN,NC,28786,41,U,M,3,,,L4E,L,D,T,3
61973,ARG,WI,53704,18,H,F,3,,,L1F,L,B,S,2
61974,SMZ,CA,94618,3,U,F,3,,,L1F,L,A,U,1
61975,SYN,FL,34606,37,H,F,3,,,L2F,L,A,T,2
61976,LHJ,IL,60103,18,H,F,2,,,L2F,L,A,S,2
61977,HAM,OTHER,97267,17,U,F,3,,,L3E,L,B,S,2
61978,MBC,IL,60120,24,H,M,3,,,L1F,L,A,C,1
61979,L01,OTHER,68801,24,H,F,3,,,L2F,L,D,C,1
61980,DRK,FL,33771,40,U,F,3,12,,L3E,L,A,R,2
61981,AML,OTHER,70072,30,H,M,2,,Y,L2F,L,B,C,3
61982,ADM,FL,33510,24,U,F,3,,,L1E,L,A,C,1
61983,CWR,TX,75158,49,H,F,2,,,L3G,L,A,R,2
61984,DRK,TX,75672,40,U,F,3,,,L3E,L,C,R,2
61985,IMP,CA,95350,20,H,F,3,,,L2F,L,B,S,2
61986,DRK,OTHER,80537-,11,U,F,3,,,L1F,L,C,S,1
61987,BHG,GA,30228,40,H,M,3,,,L1E,L,A,T,2
61988,OVS,GA,30087,40,U,F,3,,,L1F,L,A,R,2
61989,FRC,WA,98295,49,U,,3,,,L1G,L,C,R,2
61990,NEW,WA,99202,53,U,U,1,,,L1F,L,B,R,3
61991,OMH,TX,78209,15,U,M,3,12,,L3D,L,B,S,1
61992,TPS,CA,94061,13,H,F,3,,Y,L1G,L,A,S,1
61993,MCO,OTHER,29554,47,U,F,2,,,L1G,L,D,R,2
61994,,FL,34654,36,U,M,2,,Y,L1F,L,A,T,2
61995,HFS,OTHER,37076,27,H,M,3,,,L1E,L,B,C,2
61996,APP,TX,77096,2,H,F,3,12,Y,L1F,L,A,U,1
61997,CRG,CA,91355,24,H,M,3,,Y,L2F,L,A,C,1
61998,DNA,MI,48195,9,U,F,3,,,L1F,L,A,U,3
61999,ESN,MI,48091,8,H,F,3,,,L3D,L,A,U,3
62000,RPH,FL,34108,40,U,F,3,,,L1F,L,C,R,2
62001,ASC,TX,77833,36,U,M,3,,,L4F,L,D,T,2
62002,MCO,OTHER,71302,27,H,F,3,,,L1F,L,C,C,2
62003,CAW,OTHER,83340,42,U,,3,,,L2G,L,D,R,1
62004,BOA,TX,79065,24,U,M,1,,,L1G,L,D,C,1
62005,ESN,MI,48210,10,H,M,3,12,,L1F,L,A,U,4
62006,ESN,CA,94027,13,U,M,3,,,L2F,L,A,S,1
62007,IMP,TX,78231,25,U,,3,,,L3E,L,B,C,2
62008,MCC,TX,76201,24,H,M,3,,,L1F,L,A,C,1
62009,SSS,CA,92869-,40,U,M,3,12,,L1F,L,A,R,2
62010,COS,CA,91977,5,H,M,3,12,,L1G,L,A,U,2
62011,GUR,IN,47235,43,H,F,2,,,L1E,L,D,R,2
62012,FRC,IN,46149,44,U,F,3,,,L1F,L,B,R,2
62013,OLY,FL,34292,28,H,M,3,,,L2F,L,B,C,2
62014,DNA,WA,99218,25,H,F,3,,,L2E,L,B,C,2
62015,HCC,MO,65248,45,U,,3,,,L1G,L,D,R,2
62016,IMP,FL,32073,12,U,F,3,,,L1F,L,B,S,1
62017,L04,OTHER,56514,49,H,F,3,,,L1F,L,C,R,2
62018,USB,WI,53227,20,U,M,3,,,L1F,L,B,S,2
62019,PV3,OTHER,96767,53,H,F,2,,Y,L2F,L,C,R,3
62020,HCC,CA,90032,8,H,M,2,,,L3E,L,A,U,3
62021,L04,CA,93283,48,H,F,3,12,,L2F,L,B,R,2
62022,BHG,CA,90405,3,U,M,3,,,L1E,L,A,U,1
62023,DPH,WA,99336,35,H,F,3,,,L2G,L,C,T,1
62024,ESN,IL,60048,13,H,F,2,,Y,L1G,L,A,S,1
62025,PV3,NC,27701,22,U,M,3,,,L4E,L,B,C,1
62026,AML,OTHER,55128,18,U,F,3,,,L1F,L,A,S,2
62027,BHG,CA,94925,24,H,U,2,,,L2E,L,A,C,1
62028,HHL,OTHER,97035,12,U,M,1,,,L2F,L,B,S,1
62029,APP,FL,32940-,48,H,F,3,,Y,L2G,L,B,R,2
62030,IMP,CA,95472,34,H,F,2,,,L2E,L,A,T,1
62031,GOD,IL,60123,24,H,F,3,,,L1F,L,A,C,1
62032,WIS,CA,90028,1,U,M,3,,,L1G,L,A,U,1
62033,L01,CA,92501,22,H,M,2,,Y,L4D,L,A,C,1
62034,SSS,IL,60948,46,U,M,2,,,L1F,L,D,R,2
62035,D02,TX,75180,18,H,F,3,,,L4D,L,A,S,2
62036,BHG,TX,75159,41,U,M,3,,,L2E,L,A,T,3
62037,ANN,CA,95409,23,H,M,3,,,L2E,L,A,C,1
62038,L04,TX,77590,32,H,F,3,,,L4E,L,A,C,3
62039,MBC,WI,54843,45,U,F,3,12,,L1F,L,D,R,2
62040,BHG,TX,76086,44,U,F,1,,,L1F,L,A,R,2
62041,MCC,FL,33319,26,H,M,3,,,L4E,L,A,C,2
62042,SSS,OTHER,89512,27,H,M,3,,,L2F,L,B,C,2
62043,BHG,OTHER,38320,45,H,M,3,,Y,L4E,L,D,R,2
62044,,MO,65202,27,U,F,3,12,,L3E,L,C,C,2
62045,PRV,FL,33713,10,H,F,3,,,L1E,L,A,U,4
62046,FRC,OTHER,96743-,13,U,F,2,,,L1F,L,C,S,1
62047,PCL,WA,98021,18,H,F,2,,,L1G,L,A,S,2
62048,DNA,TX,75220,13,H,M,3,,,L1F,L,A,S,1
62049,ARG,TX,78239,11,H,F,3,,,L2G,L,B,S,1
62050,SPG,CA,95521,34,U,F,3,,,L4F,L,C,T,1
62051,DRK,IL,61107,12,U,M,1,,,L1E,L,B,S,1
62052,L01,WA,98284,36,H,F,3,,,L2F,L,C,T,2
62053,EPL,WA,99362,35,H,F,2,,,L1F,L,D,T,1
62054,HOS,CA,91344,14,H,F,2,,Y,L1F,L,A,S,1
62055,MCO,TX,75029-,16,H,F,3,,,L1F,L,A,S,2
62056,MBC,WA,99013,46,U,F,3,,,L3E,L,D,R,2
62057,AML,OTHER,57276,45,U,F,3,,,L4D,L,D,R,2
62058,L04,IL,60617,2,H,F,2,,,L1G,L,A,U,1
62059,PV3,OTHER,96797,11,U,F,3,,,L2F,L,B,S,1
62060,RMG,OTHER,84067,27,H,F,2,,,L1F,L,B,C,2
62061,ASC,MO,63033-,49,H,F,2,,Y,L2E,L,A,R,2
62062,AMB,WA,99218,20,H,F,2,,,L4G,L,B,S,2
62063,SYN,OTHER,85007,7,H,F,3,,,L3G,L,A,U,2
62064,DNA,OTHER,37343,11,H,M,3,,,L2F,L,B,S,1
62065,MAY,FL,33030,27,H,M,3,12,,L4D,L,A,C,2
62066,SSC,OTHER,35603,38,H,M,3,,,L1F,L,C,T,2
62067,DRK,OTHER,97211,2,H,F,1,,,L2G,L,B,U,1
62068,HAN,CA,90650,19,H,F,3,,,L1F,L,A,S,2
62069,MBC,OTHER,84010,24,H,F,1,,,L4D,L,B,C,1
62070,TOD,OTHER,55347,34,H,M,3,,,L1G,L,A,T,1
62071,BHG,CA,93449,34,H,F,3,12,,L2F,L,C,T,1
62072,GUR,WI,53566,40,U,,3,,,L3E,L,D,T,2
62073,ARG,OTHER,72757,41,U,M,2,,,L1F,L,C,T,3
62074,CHT,OTHER,80521,22,H,F,3,,,L1F,L,C,C,1
62075,CRG,IL,60632,10,U,F,1,,,L1F,L,A,U,4
62076,BHG,IL,60523,13,H,M,3,12,,L2G,L,A,S,1
62077,HOS,OTHER,35614,43,U,F,3,,,L4D,L,D,R,2
62078,NAD,OTHER,38614,47,H,M,3,,,L1G,L,D,R,2
62079,USB,IL,60629,6,H,F,3,,,L1G,L,A,U,2
62080,HCC,MI,48126,21,U,M,3,12,,L4F,L,A,S,3
62081,MCC,OTHER,70394,36,U,F,2,,,L1F,L,C,T,2
62082,ESN,CA,90807,3,H,M,2,,Y,L2F,L,A,U,1
62083,SYN,FL,32526,16,H,M,3,,,L2F,L,B,S,2
62084,HOS,MI,48060,27,H,M,2,,,L3F,L,A,C,2
62085,AVN,OTHER,71765-,43,U,M,3,,,L1F,L,D,R,2
62086,DRK,MI,49091,40,H,F,3,,,L1F,L,C,T,2
62087,SYN,OTHER,84105,8,U,F,3,,,L1G,L,B,U,3
62088,IMP,CA,95127,19,U,F,3,,,L2E,L,A,S,2
62089,VIK,CA,92627,15,U,M,3,,,L1F,L,A,S,1
62090,CNC,OTHER,80903,31,H,U,3,,,L1F,L,B,C,3
62091,NAS,MI,49017,18,H,F,2,,,L4D,L,C,S,2
62092,SRN,CA,94928,17,U,F,3,,,L1F,L,A,S,2
62093,ALZ,OTHER,85331,14,U,M,3,,,L3G,L,A,S,1
62094,LIS,WI,53104,38,H,M,3,,,L2F,L,A,T,2
62095,WKB,GA,31027,40,U,F,3,,,L3E,L,D,R,2
62096,L04,OTHER,37920,40,U,F,3,,,L2F,L,B,T,2
62097,DCD,OTHER,38128,16,H,M,3,,,L1G,L,B,S,2
62098,SIG,IL,60515,23,H,F,3,,,L1F,L,A,C,1
62099,L21,IL,60093,13,H,M,3,,,L1G,L,A,S,1
62100,SSS,CA,94596,15,U,M,3,,,L2G,L,A,S,1
62101,SSS,NC,27127,27,H,F,3,,,L3E,L,B,C,2
62102,MAD,CA,95819,2,H,M,3,,,L2G,L,B,U,1
62103,L15,GA,30554,44,H,M,3,,,L4E,L,C,R,2
62104,WIG,TX,78233,28,U,F,3,,,L1F,L,B,C,2
62105,VIK,CA,92807,14,H,F,1,,,L3E,L,A,S,1
62106,WRG,FL,33165,6,U,M,3,,,L3E,L,A,U,2
62107,DNA,FL,32804,23,H,M,3,,,L1G,L,B,C,1
62108,SYN,TX,79772,36,H,F,2,,,L1F,L,D,T,2
62109,HOW,OTHER,70648,51,U,F,3,,,L1E,L,D,R,3
62110,EPL,OTHER,56093,39,H,M,3,,Y,L3E,L,D,T,2
62111,FRC,MI,48212,10,U,F,3,,,L2F,L,A,U,4
62112,ESN,CA,92806,15,H,F,3,,,L2G,L,A,S,1
62113,VBK,MO,65010,42,U,M,3,,,L3E,L,C,R,1
62114,GRI,WA,98001,31,H,F,3,,,L1F,L,A,C,3
62115,ENQ,CA,92065,38,U,F,3,,,L4E,L,A,T,2
62116,SSS,TX,75225,2,U,M,3,,,L1G,L,A,U,1
62117,PV3,CA,92708,2,H,F,2,,,L1F,L,A,U,1
62118,DCD,IL,61614,24,H,M,3,,,L1F,L,B,C,1
62119,BHG,IL,61103,20,H,F,3,,Y,L1F,L,B,S,2
62120,USB,IN,46391-,49,U,M,2,,,L1F,L,C,R,2
62121,CYB,WI,53719,11,U,F,1,,,L1F,L,B,S,1
62122,COK,TX,75007,14,H,F,2,,,L2F,L,A,S,1
62123,L01,FL,33947,29,H,M,3,,,L3D,L,C,C,2
62124,BOA,IL,60666,20,U,M,3,,,L1F,L,A,S,2
62125,ARG,WA,98008,11,U,F,3,,,L2F,L,A,S,1
62126,AMB,GA,30625,1,H,M,1,,,L1F,L,D,U,1
62127,L02,FL,32205,30,H,F,3,,Y,L2F,L,B,C,3
62128,DRH,TX,75149,12,H,F,3,,,L3G,L,A,S,1
62129,LIS,OTHER,86426,40,U,M,2,12,,L1E,L,C,R,2
62130,L01,CA,90242,5,H,M,3,,,L4E,L,A,U,2
62131,CHT,GA,31709,7,U,F,3,,,L1F,L,D,U,2
62132,MBC,IL,60002,40,H,M,2,,Y,L2E,L,A,T,2
62133,MCO,OTHER,81003,34,U,M,3,,,L1F,L,C,T,1
62134,APP,OTHER,81082,45,U,F,3,12,,L4G,L,D,R,2
62135,L01,FL,32754,36,H,F,3,,,L4E,L,B,T,2
62136,ADD,IL,60540,11,H,M,3,,,L2G,L,A,S,1
62137,BHG,NC,28803,38,U,J,3,12,Y,L4D,L,C,T,2
62138,LIS,FL,33134,23,H,F,1,,,L2E,L,A,C,1
62139,ROA,OTHER,59404,35,U,,3,,,L3F,L,C,T,1
62140,AMB,TX,75228,5,H,F,1,,,L4E,L,A,U,2
62141,FRC,OTHER,97006,18,U,U,1,,,L1F,L,B,S,2
62142,PV3,NC,27871,50,U,F,2,,,L1F,L,D,R,3
62143,FRC,OTHER,29563,50,H,F,3,,Y,L1G,L,D,R,3
62144,ADM,FL,33460,31,U,F,3,,,L1F,L,B,C,3
62145,TRV,FL,32708,35,U,F,3,,,L2F,L,B,T,1
62146,L25,CA,90638,13,H,M,3,,Y,L1F,L,A,S,1
62147,L25,OTHER,51358,53,U,F,1,,,L2G,L,D,R,3
62148,FRC,OTHER,68105,8,H,F,2,,,L3E,L,B,U,3
62149,WKB,OTHER,97408,40,H,F,2,,,L3D,L,B,R,2
62150,LEW,OTHER,96789,40,U,F,2,,,L2F,L,B,T,2
62151,L01,FL,33594,28,H,M,3,,,L4G,L,A,C,2
62152,FRC,CA,91105,13,H,F,3,,,L2F,L,A,S,1
62153,SSS,CA,93257,28,H,M,2,,,L4D,L,B,C,2
62154,IMP,MI,48312,17,U,J,3,,,L1F,L,A,S,2
62155,TVH,CA,91206,1,U,F,2,,,L1F,L,A,U,1
62156,SYN,CA,90650,8,H,F,2,,,L1G,L,A,U,3
62157,DRK,MI,49508,17,U,M,1,,Y,L3D,L,B,S,2
62158,CAW,OTHER,37601,24,H,F,1,,,L1F,L,B,C,1
62159,AGR,OTHER,35179,51,H,M,3,,,L1F,L,C,R,3
62160,MBC,MI,49807,51,H,U,2,,Y,L4F,L,D,R,3
62161,RPH,OTHER,85007,32,H,F,3,,,L2F,L,A,C,3
62162,CWR,FL,33034,49,U,F,2,,,L1F,L,A,R,2
62163,DNA,OTHER,80817,18,H,M,2,,Y,L1F,L,B,S,2
62164,DCD,OTHER,38018,34,U,,3,,,L4D,L,B,T,1
62165,L04,IN,46342,27,U,F,3,,,L1G,L,A,C,2
62166,WKB,FL,32218,17,U,,3,,,L1G,L,B,S,2
62167,L04,GA,31763,49,U,F,3,,,L1F,L,C,R,2
62168,WMD,OTHER,73003,15,H,F,2,,,L1F,L,B,S,1
62169,DRK,IL,60476,16,H,F,2,,,L1E,L,A,S,2
62170,HCC,IL,60652,18,U,F,3,12,,L4F,L,A,S,2
62171,SYN,OTHER,66071,49,U,M,3,,,L1G,L,B,R,2
62172,L16,GA,30269,35,H,F,3,,,L1F,L,A,T,1
62173,CRG,MI,49505,21,H,M,3,,,L1F,L,B,S,3
62174,CFI,FL,32225,12,H,F,3,,Y,L1F,L,B,S,1
62175,IMP,WA,98203,40,H,M,3,,,L1F,L,A,T,2
62176,AML,OTHER,19107-,3,H,F,2,,,L2F,L,A,U,1
62177,L02,WI,53142,20,U,F,3,,,L4D,L,A,S,2
62178,AGR,FL,32404,27,U,M,3,,,L1F,L,C,C,2
62179,DCD,NC,27924,50,H,F,2,12,,L2F,L,D,R,3
62180,BAN,MO,65734,51,H,M,2,,,L1G,L,D,R,3
62181,ACS,OTHER,39666,45,U,J,2,,,L3E,L,D,R,2
62182,VIK,OTHER,68105,7,U,M,2,,,L3F,L,B,U,2
62183,BHG,OTHER,70508,22,H,M,3,,,L2F,L,C,C,1
62184,LHJ,OTHER,72118,27,U,F,3,,,L1G,L,B,C,2
62185,BHG,NC,27344,47,U,,3,,,L3D,L,D,R,2
62186,PBL,WA,99352,22,H,M,3,,,L1F,L,C,C,1
62187,GOD,CA,90710,24,U,F,3,,,L1F,L,A,C,1
62188,FRC,OTHER,23851-,30,U,F,1,,,L3F,L,D,C,3
62189,JFY,CA,94566,24,H,F,3,,,L2F,L,A,C,1
62190,LEO,CA,92055,39,U,M,3,,,L2F,L,A,T,2
62191,L01,MI,48723,43,H,F,2,,,L4E,L,D,R,2
62192,AML,CA,94133,3,U,M,2,,,L1G,L,A,U,1
62193,DCD,OTHER,37066,17,U,M,3,,,L3E,L,B,S,2
62194,ARG,CA,94536,12,H,M,3,,,L2F,L,A,S,1
62195,TX2,OTHER,85303,18,U,M,1,,,L1F,L,A,S,2
62196,TVH,OTHER,74501,37,U,,3,,,L2F,L,D,T,2
62197,MCC,FL,33785,9,U,M,2,,,L3E,L,A,U,3
62198,CNT,TX,78802,46,U,F,3,,,L1F,L,D,R,2
62199,WKB,OTHER,58102,35,H,M,2,12,Y,L2E,L,C,T,1
62200,LEO,OTHER,69214,31,U,F,3,,,L4E,L,D,C,3
62201,WKB,FL,33064,8,U,F,3,,,L2G,L,A,U,3
62202,DUR,GA,30030,13,U,,3,,,L2F,L,A,S,1
62203,CFI,FL,33139,9,U,M,3,,,L1F,L,A,U,3
62204,BHG,OTHER,35601,30,U,M,3,,,L4D,L,C,C,3
62205,L02,CA,92653,29,H,M,3,,,L1G,L,A,C,2
62206,HHH,GA,30238,27,H,F,3,,,L2F,L,A,C,2
62207,DNA,OTHER,71368,51,U,M,1,,,L1G,L,D,R,3
62208,L16,FL,34203,27,H,F,3,,,L3E,L,B,C,2
62209,FOS,OTHER,82073-,24,U,F,1,,,L3E,L,A,C,1
62210,SYN,OTHER,96817,13,U,F,3,,,L1G,L,B,S,1
62211,L01,IN,47129,21,U,M,3,,,L3F,L,B,S,3
62212,L04,OTHER,67357,41,H,F,3,,,L1F,L,D,T,3
62213,SYN,WA,98226-,27,U,M,3,,,L1F,L,C,C,2
62214,BHG,CA,95360,52,H,F,2,,,L4D,L,B,R,3
62215,L01,IL,60422,5,U,M,3,,,L2F,L,A,U,2
62216,MAT,OTHER,99674,37,U,F,3,,,L3G,L,D,T,2
62217,APP,FL,33021,16,U,,3,,,L3G,L,A,S,2
62218,PV3,TX,77833,31,H,F,3,,Y,L4D,L,D,C,3
62219,HHH,FL,33573,29,H,F,3,,,L4D,L,A,C,2
62220,CTH,TX,75604-,24,H,F,3,,,L2E,L,C,C,1
62221,CSM,CA,91351,25,H,F,3,,,L2G,L,A,C,2
62222,COK,CA,94518,2,H,F,2,,,L1F,L,A,U,1
62223,BHG,WA,98626,27,H,F,3,12,,L3E,L,C,C,2
62224,AMB,WI,53171,18,U,F,3,,,L1F,L,A,S,2
62225,NSH,CA,95340,39,H,M,3,,,L1F,L,C,T,2
62226,BHG,CA,91205,4,H,F,3,,,L1E,L,A,U,2
62227,LIS,FL,33905,28,H,M,3,,,L1G,L,B,C,2
62228,CFI,CA,90650,19,H,F,3,,,L3E,L,A,S,2
62229,APP,OTHER,29303,30,H,M,3,,,L3G,L,B,C,3
62230,JUD,IL,62526,27,H,F,3,,,L2G,L,C,C,2
62231,ARG,OTHER,70805,32,H,F,3,,,L1F,L,B,C,3
62232,CHK,CA,95404,27,U,F,2,,,L1F,L,A,C,2
62233,SUR,IL,61833,41,U,F,2,,,L3E,L,C,T,3
62234,IDE,MO,63638,53,H,F,2,,,L4E,L,D,R,3
62235,NWF,WI,53006,44,U,F,2,,,L1F,L,C,R,2
62236,CNT,MI,48843,44,U,F,3,,,L1F,L,A,R,2
62237,HAN,OTHER,85220,33,U,M,3,,,L2E,L,A,C,3
62238,HOW,OTHER,40322,51,U,F,1,12,,L4D,L,D,R,3
62239,LIS,OTHER,81501,40,U,M,3,,,L1G,L,C,R,2
62240,FRC,OTHER,72633,51,U,F,3,,,L2F,L,D,R,3
62241,FRC,NC,27834,41,U,,3,,,L1F,L,C,T,3
62242,MAT,OTHER,70503,24,H,U,2,,,L1F,L,C,C,1
