OSOURCE,STATE,ZIP,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2,RFA_2R,GEOCODE2,DOMAIN_A,DOMAIN_B
HOS,OTHER,35179,41.0,U,F,0,,,L2E,L,C,T,3
MBC,MI,48060,21.0,H,M,3.0,,,L3E,L,A,S,3
WRG,MO,63128,13.0,H,F,3.0,,,L1F,L,A,S,1
SYC,IL,60087,18.0,U,F,2.0,,,L4E,L,A,S,2
CWR,WA,98374,13.0,U,F,0,,,L2F,L,A,S,1
AMB,CA,92240,36.0,U,F,3.0,,,L3D,L,A,T,2
L01,CA,90803,1.0,U,M,0,,,L1F,L,A,U,1
CFI,CA,95683,35.0,U,M,1.0,,,L1F,L,B,T,1
,OTHER,52001,26.0,U,F,0,12.0,,L1F,L,C,C,2
CWR,OTHER,40311,51.0,H,M,3.0,,Y,L3E,L,D,R,3
GPS,IL,60645,2.0,H,F,3.0,,,L3F,L,A,U,1
HHH,CA,92843,8.0,U,M,0,,,L1F,L,A,U,3
L21,OTHER,74136,24.0,H,M,3.0,,,L1F,L,B,C,1
NWN,MI,48609,39.0,H,F,3.0,,,L2F,L,B,T,2
HOS,GA,30047,14.0,H,F,3.0,,,L1F,L,A,S,1
DRK,MI,48884,51.0,U,F,2.0,,,L2E,L,D,R,3
PCL,WA,98031,18.0,U,F,0,12.0,,L4F,L,A,S,2
CNT,OTHER,29673,39.0,H,F,2.0,,,L1G,L,B,T,2
AGR,NC,28465-,25.0,U,F,3.0,,,L1G,L,C,C,2
MBC,TX,78602,49.0,U,F,2.0,,,L3G,L,D,R,2
LIS,IL,60563,5.0,U,F,1.0,,,L1E,L,A,U,2
MBC,WA,98588,42.0,H,F,2.0,2.0,,L1F,L,D,R,1
DRK,FL,34103,20.0,H,F,2.0,,,L4G,L,C,S,2
,OTHER,58203-,25.0,U,F,3.0,,,L3E,L,C,C,2
BOA,MO,64114,16.0,U,M,0,,,L1G,L,B,S,2
SYN,TX,75150,15.0,H,F,3.0,,,L3E,L,A,S,1
AMB,NC,27615,24.0,H,F,3.0,,,L1F,L,B,C,1
STR,GA,30152,13.0,U,F,2.0,,,L1F,L,A,S,1
BRE,IL,62650,36.0,H,F,3.0,,,L2F,L,D,T,2
MID,MO,65556,43.0,U,F,2.0,,,L1E,L,D,R,2
ARG,OTHER,68801,30.0,H,F,3.0,,,L4D,L,D,C,3
AML,CA,95120,14.0,H,M,1.0,,,L3D,L,A,S,1
ANT,TX,78207-,10.0,H,F,3.0,,,L1F,L,B,U,4
AMB,OTHER,36526,34.0,U,F,0,,,L4D,L,B,T,1
MCO,IL,62002,27.0,H,M,2.0,,,L1F,L,A,C,2
UCA,TX,76067,36.0,U,F,0,,,L1F,L,D,T,2
BTR,MI,48336,20.0,H,F,3.0,,,L1F,L,A,S,2
L01,IL,61944,21.0,U,M,1.0,,,L1E,L,D,S,3
SCP,FL,33308,5.0,H,F,1.0,,,L1F,L,A,U,2
ESN,CA,90026,7.0,H,F,3.0,12.0,,L2F,L,A,U,2
ADD,OTHER,89119-,18.0,U,F,1.0,,,L1F,L,B,S,2
DNA,OTHER,80210,13.0,H,M,1.0,,,L2G,L,B,S,1
ARG,OTHER,36022,40.0,H,M,2.0,,,L1F,L,B,T,2
L02,OTHER,41129,41.0,H,M,2.0,12.0,,L3E,L,B,T,3
TVH,OTHER,72046,50.0,U,F,1.0,12.0,Y,L1G,L,B,R,3
L15,OTHER,85208-,35.0,H,M,2.0,,,L1F,L,A,T,1
ESN,MO,65807,25.0,U,M,1.0,,,L3E,L,B,C,2
AGR,IL,60068-,35.0,H,M,2.0,,,L4E,L,A,T,1
WKB,OTHER,97220,21.0,H,M,1.0,,,L4D,L,B,S,3
SYN,OTHER,85210,7.0,U,F,1.0,,,L1F,L,A,U,2
PV3,OTHER,50014,40.0,H,F,3.0,,,L1G,L,C,R,2
MBC,OTHER,97424,36.0,H,M,3.0,,Y,L1G,L,B,T,2
MBC,CA,95547,31.0,U,M,0,,,L1F,L,C,C,3
SSS,TX,77356,34.0,H,M,3.0,,,L4G,L,A,T,1
MAT,CA,95125-,42.0,U,F,0,,,L1F,L,A,R,1
HHH,OTHER,36562,41.0,U,F,2.0,,Y,L3E,L,B,T,3
ENQ,OTHER,85746,19.0,H,F,3.0,,Y,L3E,L,B,S,2
HAM,NC,28173,42.0,U,,0,,,L3E,L,B,R,1
L04,CA,95501,27.0,H,F,3.0,,,L4E,L,C,C,2
HOS,OTHER,73099,35.0,H,M,3.0,,Y,L3E,L,B,T,1
DEL,OTHER,84542,49.0,U,M,1.0,,,L2F,L,D,R,2
SYN,GA,31636,42.0,H,M,3.0,,,L1G,L,C,R,1
AML,IL,60628,5.0,H,M,2.0,,Y,L3E,L,A,U,2
BHG,FL,34761-,30.0,H,F,3.0,,Y,L2E,L,B,C,3
DNA,GA,30705,43.0,H,U,3.0,,Y,L3E,L,D,R,2
MCC,OTHER,86329,46.0,H,F,2.0,,,L1E,L,C,R,2
ANT,TX,76008,42.0,H,F,3.0,,Y,L3G,L,A,R,1
,IL,60302,3.0,H,F,1.0,,,L1F,L,A,U,1
L04,GA,30047,18.0,H,F,3.0,,,L4E,L,A,S,2
OLY,CA,94549,13.0,H,F,1.0,,,L2F,L,A,S,1
MBC,CA,95409-,24.0,H,F,3.0,,,L3F,L,A,C,1
ARG,GA,30083,11.0,H,F,3.0,,,L2F,L,A,S,1
NWF,CA,90024,1.0,H,F,3.0,,,L2E,L,A,U,1
MB1,OTHER,87417,49.0,U,M,0,,,L1F,L,C,R,2
HCC,OTHER,37067,40.0,H,M,3.0,12.0,,L3G,L,B,R,2
FRC,WI,54216-,46.0,U,F,3.0,,,L1F,L,D,R,2
MBC,TX,77396,39.0,H,M,2.0,,Y,L3F,L,A,T,2
FCR,OTHER,85732,31.0,H,M,2.0,,Y,L1G,L,B,C,3
LHJ,IN,47807,30.0,H,F,3.0,,,L1F,L,C,C,3
LHJ,OTHER,59872,43.0,H,M,2.0,,,L2E,L,D,R,2
DRL,CA,92405,16.0,H,F,3.0,,,L2F,L,A,S,2
,TX,79416,11.0,U,,0,,,L2G,L,C,S,1
CRG,CA,95823,8.0,U,F,0,,,L1F,L,B,U,3
HOS,WA,98387,36.0,U,F,1.0,,,L4F,L,A,T,2
L01,GA,30360,17.0,H,M,3.0,,Y,L1F,L,A,S,2
COS,OTHER,68137,7.0,U,F,0,,,L3F,L,B,U,2
PV3,CA,95128,5.0,U,,0,,,L4D,L,A,U,2
CNT,NC,28270,24.0,H,M,3.0,,,L2F,L,B,C,1
IMP,FL,33065,20.0,U,M,1.0,12.0,,L1E,L,A,S,2
AIR,TX,77373,39.0,H,M,3.0,,,L3E,L,A,T,2
WRG,NC,28071,49.0,H,F,3.0,,,L1F,L,B,R,2
DUR,TX,77357-,39.0,H,M,2.0,,,L1E,L,A,T,2
PV3,CA,91601,10.0,H,M,3.0,,,L3F,L,A,U,4
SGI,FL,33172,17.0,H,M,3.0,,,L2F,L,A,S,2
AMB,OTHER,40214,20.0,H,M,3.0,12.0,,L3E,L,B,S,2
NWN,IL,60087,18.0,U,F,2.0,,,L1G,L,A,S,2
ARG,TX,75604,24.0,H,M,2.0,,,L3E,L,C,C,1
CNT,OTHER,83816,38.0,H,M,2.0,,,L1F,L,C,T,2
IMA,OTHER,85022-,12.0,H,F,2.0,,,L3E,L,A,S,1
L04,WA,98290,40.0,U,F,0,,,L3E,L,A,T,2
AQU,IL,61723,49.0,U,F,2.0,,,L3E,L,D,R,2
ESN,OTHER,85044,35.0,U,F,0,,,L1G,L,A,T,1
BHG,OTHER,97627,46.0,U,F,0,,,L1E,L,C,R,2
GUR,IN,47803,33.0,U,F,1.0,,,L3E,L,C,C,3
MBC,IL,62010,39.0,H,F,2.0,,,L1F,L,A,T,2
FRC,OTHER,42754,51.0,U,F,0,,,L2F,L,D,R,3
AR1,MI,48439,12.0,H,M,3.0,,Y,L2F,L,B,S,1
LIS,OTHER,80501,27.0,H,F,3.0,,,L2E,L,B,C,2
LIS,FL,33304,3.0,H,M,3.0,,,L3D,L,A,U,1
STA,OTHER,56258,40.0,U,F,3.0,,,L4G,L,D,T,2
IMP,CA,92307,34.0,H,M,3.0,,,L2F,L,A,T,1
AML,OTHER,58438,45.0,H,M,2.0,,,L1F,L,D,R,2
ARG,OTHER,37660,34.0,H,F,3.0,12.0,,L1G,L,B,T,1
ESN,NC,27510,34.0,H,F,3.0,,,L1F,L,B,T,1
LIS,IN,47304,24.0,H,M,3.0,,,L1F,L,C,C,1
DCD,CA,92404,8.0,H,M,3.0,,,L1F,L,A,U,3
APP,CA,92253,40.0,U,,0,12.0,,L4D,L,A,T,2
MBB,CA,92646,3.0,U,F,0,,,L3E,L,A,U,1
NTW,TX,77351,36.0,U,F,2.0,,Y,L2F,L,D,T,2
PV3,IN,46164,49.0,H,F,2.0,,,L2E,L,B,R,2
ENQ,OTHER,57066,25.0,U,F,0,,,L3E,L,D,C,2
COS,TX,77450,24.0,H,M,3.0,,,L1F,L,A,C,1
DCD,IN,47906,22.0,H,M,1.0,,,L1G,L,C,C,1
NAS,IL,60194,11.0,U,F,0,,,L1G,L,A,S,1
AGR,CA,94604,9.0,U,F,2.0,,,L2F,L,A,U,3
COK,MI,48137,44.0,H,M,3.0,,Y,L1F,L,A,R,2
AIR,GA,31701,30.0,H,M,3.0,,Y,L2G,L,C,C,3
HCC,MI,49242,41.0,U,M,1.0,,,L1F,L,D,T,3
IMP,TX,76093-,36.0,U,M,0,,,L4E,L,A,T,2
IMA,FL,32257,11.0,H,F,2.0,,,L3D,L,B,S,1
WIG,MI,48212,10.0,H,F,2.0,,,L2G,L,A,U,4
L01,MI,48188,17.0,H,M,3.0,,,L2F,L,A,S,2
ASC,CA,95965,41.0,U,M,1.0,,,L1F,L,C,T,3
LIS,FL,32333,47.0,U,U,3.0,,,L3G,L,B,R,2
HHH,IN,46173,45.0,U,F,0,,,L1F,L,D,R,2
AGR,OTHER,40965,22.0,U,F,1.0,,,L2F,L,D,C,1
DNA,FL,34229,23.0,H,F,3.0,,,L1G,L,B,C,1
DNA,OTHER,74105,22.0,H,F,3.0,,,L1F,L,B,C,1
FRC,OTHER,87036,52.0,U,F,3.0,,,L2E,L,D,R,3
,MI,49464,37.0,U,F,1.0,12.0,,L1F,L,B,T,2
HCC,GA,31210,24.0,H,F,3.0,,,L2G,L,B,C,1
HSP,CA,92211,40.0,H,F,3.0,,,L2F,L,A,R,2
PV3,OTHER,97351,39.0,U,F,0,,,L1F,L,B,T,2
L21,TX,76048,42.0,H,F,3.0,,,L1F,L,D,R,1
DNA,NC,27358,13.0,H,M,3.0,,,L1F,L,B,S,1
AML,CA,94556,13.0,H,F,2.0,,,L1E,L,A,S,1
BAN,OTHER,35042,51.0,H,F,2.0,,Y,L4E,L,D,R,3
HOW,MO,65018,45.0,U,M,1.0,,,L2F,L,D,R,2
HAR,MI,48419,51.0,H,U,3.0,,,L1F,L,D,R,3
TX2,OTHER,97636,49.0,U,M,0,,,L1F,L,D,R,2
SUN,OTHER,40205,11.0,H,M,3.0,12.0,,L4G,L,B,S,1
L16,OTHER,29512,50.0,H,F,3.0,,,L1F,L,D,R,3
FRC,CA,93706,52.0,H,M,3.0,,,L2F,L,B,R,3
UCA,MI,48198,27.0,U,F,2.0,,,L4E,L,A,C,2
MBC,FL,32608,25.0,H,M,3.0,,,L4E,L,C,C,2
AGR,IL,60130,3.0,H,M,1.0,,,L1F,L,A,U,1
EAS,OTHER,85015,23.0,H,M,3.0,,,L2G,L,A,C,1
HHL,FL,32059,43.0,H,M,2.0,,Y,L4F,L,D,R,2
WAR,CA,92222,48.0,U,,0,,,L1F,L,C,R,2
AML,CA,95825,31.0,U,M,0,,,L3E,L,B,C,3
AML,MI,49083,42.0,U,M,3.0,,,L2F,L,C,R,1
L06,OTHER,74135,26.0,H,F,3.0,,,L3F,L,B,C,2
BHG,WI,54812,45.0,U,M,1.0,,,L1F,L,D,R,2
CRG,NC,27045,40.0,H,F,3.0,,,L1F,L,B,T,2
DON,OTHER,80030,16.0,U,F,0,,,L2F,L,B,S,2
AGS,FL,33027,20.0,U,M,0,,,L1F,L,A,S,2
APP,OTHER,71291,49.0,H,F,3.0,,,L3E,L,C,R,2
MBC,IL,62521,40.0,H,M,3.0,,,L4D,L,C,T,2
HAN,FL,34489,37.0,U,F,0,,,L2F,L,C,T,2
SSS,FL,33068,6.0,H,F,3.0,,,L1E,L,A,U,2
CAW,MI,48021,8.0,U,M,3.0,,,L1G,L,A,U,3
BTY,OTHER,89015,40.0,H,F,3.0,,Y,L1G,L,B,T,2
USB,FL,33076,29.0,H,F,1.0,,,L1G,L,A,C,2
COS,CA,94595,29.0,H,F,3.0,12.0,,L1F,L,A,C,2
HAN,OTHER,29115,41.0,H,F,2.0,12.0,,L2F,L,C,T,3
DNA,CA,92703,8.0,H,F,3.0,,,L3E,L,A,U,3
OMH,CA,90027,2.0,U,,0,,,L4D,L,A,U,1
L04,CA,95236,44.0,H,F,3.0,,,L4D,L,B,R,2
AML,WA,98686,17.0,U,M,1.0,,,L1F,L,B,S,2
LIS,OTHER,56701,41.0,U,F,3.0,,,L1E,L,D,T,3
AKM,OTHER,58801,37.0,H,M,2.0,,Y,L4E,L,D,T,2
PV3,OTHER,57301-,36.0,U,F,1.0,,,L4E,L,D,T,2
CVO,OTHER,29451,35.0,U,M,0,,,L1F,L,B,T,1
NAS,OTHER,73703,37.0,H,M,3.0,,,L1F,L,C,T,2
HOS,CA,96021,7.0,H,F,3.0,12.0,,L1F,L,D,U,2
MBC,CA,92509,18.0,U,M,3.0,,Y,L1G,L,A,S,2
BHG,OTHER,35950,36.0,U,M,3.0,,,L3E,L,C,T,2
SYN,OTHER,97110,42.0,U,F,1.0,,,L2F,L,D,R,1
LIS,FL,33761,29.0,H,F,3.0,,,L1F,L,A,C,2
L02,OTHER,85382,40.0,H,F,2.0,,,L1F,L,A,T,2
L04,MI,49735,49.0,H,F,3.0,,,L1F,L,D,R,2
SIG,OTHER,35023,30.0,U,F,1.0,,,L1F,L,B,C,3
MSD,OTHER,80640,40.0,U,,0,,,L1F,L,B,T,2
DNA,WA,98033,11.0,U,F,0,12.0,,L4E,L,A,S,1
AIR,OTHER,96266-,18.0,U,F,2.0,,,L1G,L,U,S,2
L01,CA,92377,12.0,U,M,0,,,L1F,L,A,S,1
AGR,OTHER,80214,10.0,U,F,2.0,,,L1F,L,B,U,4
AML,MO,64735,28.0,H,F,2.0,,,L4E,L,D,C,2
ADD,CA,94502,5.0,U,F,0,,,L1F,L,A,U,2
L15,CA,94589,1.0,U,M,2.0,,,L4E,L,A,U,1
HHH,CA,92780,17.0,U,F,1.0,,,L1F,L,A,S,2
AMB,OTHER,58554-,39.0,U,M,2.0,,,L1F,L,C,T,2
ASC,OTHER,38374,48.0,U,M,2.0,,,L3D,L,D,R,2
SSS,FL,32726,28.0,H,M,3.0,,,L1F,L,C,C,2
SUN,CA,91767,13.0,U,F,0,12.0,,L3F,L,A,S,1
MBC,OTHER,40175,39.0,H,M,3.0,,,L1F,L,C,T,2
HOS,CA,91001,20.0,U,M,1.0,,Y,L4E,L,A,S,2
HAM,CA,92843,6.0,U,F,0,,,L3E,L,A,U,2
L21,WA,98445,17.0,U,M,0,,,L4E,L,A,S,2
AML,CA,91910,12.0,H,M,2.0,,,L1F,L,A,S,1
CWR,FL,34741,25.0,U,,0,,,L4D,L,B,C,2
NAS,OTHER,97229,17.0,U,M,2.0,,,L1F,L,B,S,2
LHJ,TX,77904,34.0,H,M,2.0,,,L1F,L,C,T,1
IMP,MI,48187,17.0,U,F,2.0,,,L2F,L,A,S,2
DCD,MI,48070,2.0,H,F,3.0,,,L1F,L,A,U,1
UCA,TX,77024,13.0,U,M,1.0,,,L2G,L,A,S,1
HOS,OTHER,96701,14.0,H,F,3.0,,,L1G,L,B,S,1
FRC,OTHER,74401,23.0,U,F,3.0,,,L1F,L,C,C,1
DCD,OTHER,50112,41.0,H,F,3.0,,,L4D,L,D,T,3
BRE,IL,60035,13.0,U,U,1.0,,,L1F,L,A,S,1
AML,CA,91702,31.0,U,F,0,,,L1G,L,A,C,3
DUR,CA,91362,24.0,H,F,3.0,,,L2E,L,A,C,1
MBC,TX,75070,38.0,H,M,3.0,,,L1F,L,A,T,2
SGI,OTHER,83442,44.0,H,M,3.0,,,L3E,L,D,R,2
L16,OTHER,71292,24.0,U,F,0,,,L2E,L,C,C,1
PCL,TX,75604,30.0,H,M,3.0,12.0,,L1F,L,C,C,3
CNT,OTHER,81233,45.0,H,F,3.0,,,L1F,L,D,R,2
HAM,OTHER,85033,5.0,H,F,3.0,,,L1F,L,A,U,2
USB,OTHER,38237,31.0,U,M,3.0,,Y,L1G,L,D,C,3
FOR,FL,33313,9.0,H,F,3.0,,,L1E,L,A,U,3
L01,CA,95490,42.0,U,F,0,,Y,L3E,L,C,R,1
MBC,WI,53536,49.0,H,F,2.0,,,L1F,L,C,R,2
AMB,FL,34479,36.0,H,F,3.0,,,L2E,L,C,T,2
STL,OTHER,80122-,9.0,H,M,1.0,,,L1G,L,B,U,3
IMP,MI,49770,38.0,H,F,3.0,,,L2E,L,D,T,2
AML,IN,46703,49.0,U,M,3.0,,,L2E,L,D,R,2
ACS,CA,93313,49.0,H,M,3.0,,Y,L1F,L,B,R,2
NFB,FL,32780,26.0,U,F,0,12.0,,L3E,L,B,C,2
RMG,OTHER,68506-,25.0,H,F,3.0,0.0,,L1F,L,C,C,2
HOS,TX,75080,18.0,H,F,3.0,,,L4E,L,A,S,2
GRI,OTHER,36877,49.0,U,U,3.0,,,L1G,L,C,R,2
WKB,OTHER,37385-,51.0,H,F,2.0,,,L1E,L,D,R,3
GRI,OTHER,72701,36.0,H,M,3.0,,,L1G,L,C,T,2
BHG,OTHER,97211,32.0,H,F,3.0,,Y,L1F,L,B,C,3
HCC,IL,61550,24.0,H,F,3.0,,,L1G,L,B,C,1
HCC,OTHER,29512,36.0,H,F,3.0,,,L1F,L,D,T,2
DNA,WA,98387,39.0,H,M,3.0,,,L1F,L,A,T,2
MBC,IN,46516,30.0,U,F,0,,,L1F,L,C,C,3
LIS,OTHER,74301,45.0,U,F,0,,,L3F,L,D,R,2
L01,CA,91710,19.0,H,F,3.0,12.0,,L1E,L,A,S,2
MIC,NC,27707,14.0,H,M,2.0,,,L1F,L,B,S,1
MTR,MI,49464,37.0,H,F,3.0,,,L2E,L,B,T,2
COS,IL,61740,45.0,U,M,2.0,,,L1F,L,D,R,2
BOA,TX,75049-,12.0,H,M,2.0,,,L2F,L,A,S,1
L21,TX,77306,49.0,U,M,0,,,L1F,L,A,R,2
ESN,OTHER,36088,34.0,H,F,3.0,,Y,L1F,L,D,T,1
HCC,MO,64119,11.0,H,F,1.0,,,L2F,L,B,S,1
DCD,OTHER,85747,40.0,H,F,3.0,,,L1F,L,B,T,2
HAN,NC,28705,53.0,H,F,2.0,,,L2F,L,D,R,3
ESN,OTHER,68137,12.0,H,M,2.0,12.0,,L4F,L,B,S,1
NWN,WI,53142,40.0,H,F,3.0,,,L1F,L,A,T,2
L01,MI,49274,51.0,H,M,3.0,,,L1F,L,D,R,3
COK,OTHER,97304,35.0,U,F,0,,,L3E,L,B,T,1
CWR,OTHER,37923,35.0,U,F,1.0,,,L1F,L,B,T,1
GDA,OTHER,37185,45.0,U,M,1.0,,,L2G,L,D,R,2
WKB,OTHER,74801,41.0,H,F,3.0,,,L1G,L,B,T,3
PBK,TX,78748,18.0,U,M,3.0,,,L1F,L,B,S,2
DCD,GA,30540,43.0,H,F,2.0,,,L1F,L,D,R,2
AGR,OTHER,67431,45.0,U,F,0,,,L4F,L,D,R,2
MBC,FL,33463,16.0,U,M,0,,,L1G,L,B,S,2
STR,FL,33615,16.0,U,F,0,,,L1F,L,A,S,2
AML,MI,49091,49.0,U,F,3.0,,,L2F,L,C,R,2
ARB,IL,60041,24.0,H,M,3.0,,,L1F,L,A,C,1
MBC,TX,78676,42.0,H,F,2.0,,,L4D,L,B,R,1
ARG,WI,54435,51.0,H,M,2.0,,,L1F,L,D,R,3
FRC,CA,92037,15.0,U,F,0,,,L3E,L,A,S,1
AML,OTHER,88201,28.0,H,M,3.0,,,L1F,L,C,C,2
FRC,WA,98059,40.0,H,F,3.0,,,L3F,L,A,T,2
USB,GA,30233,51.0,H,F,2.0,,,L2F,L,A,R,3
WKB,FL,33169,6.0,H,F,3.0,,,L1F,L,A,U,2
ARG,MO,63126-,5.0,H,F,2.0,,,L1F,L,A,U,2
HCC,FL,34207,31.0,U,,0,,,L4G,L,B,C,3
DCD,WA,98199,24.0,H,M,3.0,,,L1F,L,A,C,1
GEN,OTHER,41018,16.0,H,F,3.0,,,L1F,L,B,S,2
PSM,CA,95826,11.0,U,M,0,,,L1F,L,B,S,1
ENQ,CA,92557,27.0,H,F,1.0,,Y,L1F,L,A,C,2
MON,TX,77327,51.0,H,F,2.0,,,L1F,L,A,R,3
DRK,CA,91505,7.0,U,M,0,,,L1F,L,A,U,2
L25,FL,32778,42.0,H,M,2.0,,,L1G,L,C,R,1
IMP,OTHER,29920,35.0,H,M,3.0,,,L1F,L,C,T,1
AGR,IN,47567,45.0,U,M,0,,,L4D,L,D,R,2
HOS,FL,33056,21.0,H,F,3.0,,,L1F,L,A,S,3
ANT,TX,77512,40.0,H,F,2.0,,,L1G,L,A,T,2
HOS,OTHER,36203,43.0,H,F,3.0,,,L1F,L,C,R,2
BHG,CA,91306,6.0,H,M,3.0,,,L2E,L,A,U,2
ARG,MO,65305,27.0,H,M,2.0,,,L4E,L,D,C,2
TPS,MI,48624,28.0,H,F,3.0,,,L2G,L,D,C,2
BHG,CA,91778,6.0,H,M,2.0,,,L3D,L,A,U,2
DRK,OTHER,26301-,12.0,H,F,3.0,,Y,L2F,L,C,S,1
HOS,CA,91746,8.0,H,M,3.0,,,L2F,L,A,U,3
PV3,GA,30093,14.0,H,F,2.0,,,L1F,L,A,S,1
L01,CA,91744,21.0,H,M,3.0,,,L1F,L,A,S,3
HEL,MI,48021,8.0,H,M,3.0,12.0,,L2F,L,A,U,3
IMP,FL,32446,38.0,H,F,3.0,,,L1F,L,D,T,2
ARG,WI,54952,27.0,H,M,3.0,,,L1F,L,B,C,2
WIG,MO,64429-,45.0,H,F,3.0,,,L3E,L,D,R,2
STR,IL,60016,12.0,H,F,3.0,,,L1G,L,A,S,1
ARG,CA,92088,27.0,U,,0,,,L1F,L,A,C,2
ESN,OTHER,97305,17.0,U,F,1.0,,,L4E,L,B,S,2
YKD,FL,33426,29.0,H,F,3.0,,,L1F,L,B,C,2
DCD,OTHER,59715,35.0,H,F,3.0,,,L1F,L,D,T,1
HCC,MI,48104,16.0,H,F,3.0,,,L3F,L,A,S,2
AMB,CA,95319,16.0,H,F,2.0,,,L3E,L,B,S,2
ARG,CA,91350,24.0,H,M,3.0,,,L1F,L,A,C,1
AGR,IL,60106,3.0,U,M,3.0,,Y,L2G,L,A,U,1
IMP,GA,30144,34.0,U,F,1.0,,,L2F,L,A,T,1
TVG,IN,46970,39.0,U,F,0,,,L1F,L,D,T,2
AML,OTHER,37643,36.0,U,M,2.0,,,L1G,L,B,T,2
SMS,CA,94533,27.0,U,,0,,,L1G,L,A,C,2
MWC,MI,48219,8.0,U,F,2.0,,,L1F,L,A,U,3
L04,OTHER,85008,31.0,U,F,3.0,,,L2F,L,A,C,3
DRK,CA,91006,12.0,H,F,3.0,,,L1G,L,A,S,1
AGR,WA,98506,27.0,H,M,2.0,,,L1F,L,C,C,2
MBC,TX,79109,24.0,H,F,3.0,12.0,,L3E,L,C,C,1
DCD,CA,90601,17.0,U,M,0,,,L4G,L,A,S,2
L02,MI,48180-,10.0,U,M,2.0,,,L1F,L,A,U,4
GRI,FL,33853,30.0,H,F,3.0,,,L1F,L,B,C,3
HOS,CA,95822,8.0,H,F,2.0,,,L3F,L,B,U,3
MB1,CA,94596,15.0,U,F,0,,,L2F,L,A,S,1
L01,OTHER,97219,13.0,U,M,0,,,L1F,L,B,S,1
ASC,WA,98115,2.0,U,M,1.0,,,L1F,L,A,U,1
ESN,GA,30305,15.0,H,F,3.0,12.0,,L1F,L,A,S,1
ASC,OTHER,97210,4.0,U,,0,,,L1G,L,B,U,2
LEO,FL,32757,28.0,U,F,0,,,L2F,L,C,C,2
LIS,OTHER,68862,45.0,U,F,2.0,,,L3D,L,D,R,2
NCM,OTHER,36360,36.0,H,F,2.0,,,L1F,L,C,T,2
BHG,OTHER,74502,53.0,U,F,0,,,L1E,L,D,R,3
STR,CA,96028,46.0,H,F,2.0,,,L1F,L,C,R,2
ROA,OTHER,85027,18.0,H,F,3.0,,,L4F,L,A,S,2
LHJ,OTHER,66442,39.0,U,F,0,,,L3D,L,D,T,2
RED,CA,95450,42.0,U,F,2.0,,,L1F,L,A,R,1
NUM,NC,28621,46.0,U,M,2.0,,,L3E,L,C,R,2
SYN,MI,48104,22.0,H,F,3.0,,,L3F,L,A,C,1
DRK,OTHER,55109,20.0,U,F,0,12.0,,L1F,L,A,S,2
AGR,GA,30504,38.0,H,F,3.0,,,L1F,L,C,T,2
DNA,CA,94131,37.0,U,M,3.0,12.0,,L1F,L,A,T,2
ADD,OTHER,15216,51.0,U,,0,,,L3E,L,A,R,3
L01,WA,99362,36.0,H,F,3.0,,,L3E,L,D,T,2
NAP,CA,90056,2.0,H,M,3.0,,,L1G,L,A,U,1
FOR,TX,78757,13.0,H,F,3.0,,,L4F,L,B,S,1
MBC,OTHER,86341,26.0,U,F,3.0,,,L1G,L,C,C,2
GRI,WA,98387,40.0,H,F,2.0,12.0,,L1G,L,A,R,2
DRK,GA,30534-,39.0,H,F,3.0,,Y,L2E,L,D,T,2
FRC,OTHER,72390,41.0,U,M,0,,,L1F,L,D,T,3
MBC,OTHER,37650,37.0,U,F,3.0,,,L1E,L,B,T,2
L04,OTHER,89509,25.0,U,F,2.0,,,L3E,L,B,C,2
SYN,FL,34232,36.0,U,F,0,,,L1F,L,B,T,2
PRV,IN,46323,16.0,U,F,0,,,L1F,L,A,S,2
SIG,CA,93280,41.0,H,F,3.0,,,L1F,L,B,T,3
HOS,FL,34974,51.0,H,F,3.0,,,L1F,L,D,R,3
STL,FL,32514,21.0,H,F,3.0,,Y,L1F,L,B,S,3
TPS,CA,92663,13.0,H,F,3.0,,Y,L2F,L,A,S,1
BRY,OTHER,74561,53.0,U,M,3.0,,,L1E,L,D,R,3
DEL,IL,60137,17.0,H,M,2.0,,,L1F,L,A,S,2
STR,CA,92649,13.0,H,F,3.0,12.0,,L1G,L,A,S,1
FRC,TX,78840,30.0,H,F,3.0,,,L1G,L,D,C,3
VIK,OTHER,99801,38.0,U,F,2.0,,,L1F,L,U,T,2
DRK,IN,47711,35.0,U,M,3.0,,,L2G,L,B,T,1
DEL,OTHER,73160,18.0,H,F,3.0,,,L1F,L,B,S,2
CWR,OTHER,83703,35.0,U,F,3.0,12.0,,L3E,L,C,T,1
ENQ,OTHER,85635,35.0,H,U,2.0,,Y,L1F,L,C,T,1
NSN,CA,91719,24.0,H,F,2.0,,,L2F,L,A,C,1
AGS,TX,77433,39.0,H,M,3.0,,,L1F,L,A,T,2
AGR,WA,98168,22.0,U,F,2.0,,,L1G,L,A,C,1
MBC,MI,48185,18.0,H,F,3.0,,,L2F,L,A,S,2
SYN,GA,30062,14.0,U,M,0,,,L1F,L,A,S,1
BOA,CA,91012,13.0,U,F,0,,,L3F,L,A,S,1
L16,OTHER,80612,42.0,H,M,2.0,,,L1F,L,C,R,1
HOS,NC,28391,49.0,H,F,2.0,,Y,L1F,L,B,R,2
DNA,OTHER,29801,36.0,H,M,3.0,,,L1G,L,B,T,2
STP,CA,92886,5.0,U,F,0,,,L1F,L,A,U,2
